city,years,smartmeter_cut,smartmeter_cut_count,companies
'S-GRAVENDEEL,2018,35,1,stedin
'S-GRAVENDEEL,2018,45,1,stedin
'S-GRAVENDEEL,2018,55,3,stedin
'S-GRAVENDEEL,2018,65,3,stedin
'S-GRAVENDEEL,2018,75,8,stedin
'S-GRAVENDEEL,2018,85,25,stedin
'S-GRAVENDEEL,2018,95,130,stedin
'S-GRAVENDEEL,2019,55,1,stedin
'S-GRAVENDEEL,2019,75,5,stedin
'S-GRAVENDEEL,2019,85,16,stedin
'S-GRAVENDEEL,2019,95,150,stedin
'S-GRAVENHAGE,2010,5,10302,stedin
'S-GRAVENHAGE,2010,15,458,stedin
'S-GRAVENHAGE,2010,25,115,stedin
'S-GRAVENHAGE,2010,35,44,stedin
'S-GRAVENHAGE,2010,45,36,stedin
'S-GRAVENHAGE,2010,55,33,stedin
'S-GRAVENHAGE,2010,65,36,stedin
'S-GRAVENHAGE,2010,75,35,stedin
'S-GRAVENHAGE,2010,85,67,stedin
'S-GRAVENHAGE,2010,95,180,stedin
'S-GRAVENHAGE,2011,5,10322,stedin
'S-GRAVENHAGE,2011,15,473,stedin
'S-GRAVENHAGE,2011,25,116,stedin
'S-GRAVENHAGE,2011,35,48,stedin
'S-GRAVENHAGE,2011,45,36,stedin
'S-GRAVENHAGE,2011,55,34,stedin
'S-GRAVENHAGE,2011,65,40,stedin
'S-GRAVENHAGE,2011,75,37,stedin
'S-GRAVENHAGE,2011,85,71,stedin
'S-GRAVENHAGE,2011,95,187,stedin
'S-GRAVENHAGE,2012,5,10328,stedin
'S-GRAVENHAGE,2012,15,478,stedin
'S-GRAVENHAGE,2012,25,122,stedin
'S-GRAVENHAGE,2012,35,51,stedin
'S-GRAVENHAGE,2012,45,40,stedin
'S-GRAVENHAGE,2012,55,35,stedin
'S-GRAVENHAGE,2012,65,40,stedin
'S-GRAVENHAGE,2012,75,39,stedin
'S-GRAVENHAGE,2012,85,73,stedin
'S-GRAVENHAGE,2012,95,187,stedin
'S-GRAVENHAGE,2013,5,10147,stedin
'S-GRAVENHAGE,2013,15,606,stedin
'S-GRAVENHAGE,2013,25,144,stedin
'S-GRAVENHAGE,2013,35,58,stedin
'S-GRAVENHAGE,2013,45,47,stedin
'S-GRAVENHAGE,2013,55,37,stedin
'S-GRAVENHAGE,2013,65,43,stedin
'S-GRAVENHAGE,2013,75,37,stedin
'S-GRAVENHAGE,2013,85,71,stedin
'S-GRAVENHAGE,2013,95,184,stedin
'S-GRAVENHAGE,2014,5,9653,stedin
'S-GRAVENHAGE,2014,15,943,stedin
'S-GRAVENHAGE,2014,25,211,stedin
'S-GRAVENHAGE,2014,35,92,stedin
'S-GRAVENHAGE,2014,45,62,stedin
'S-GRAVENHAGE,2014,55,53,stedin
'S-GRAVENHAGE,2014,65,52,stedin
'S-GRAVENHAGE,2014,75,48,stedin
'S-GRAVENHAGE,2014,85,81,stedin
'S-GRAVENHAGE,2014,95,200,stedin
'S-GRAVENHAGE,2015,5,8624,stedin
'S-GRAVENHAGE,2015,15,1737,stedin
'S-GRAVENHAGE,2015,25,387,stedin
'S-GRAVENHAGE,2015,35,131,stedin
'S-GRAVENHAGE,2015,45,83,stedin
'S-GRAVENHAGE,2015,55,63,stedin
'S-GRAVENHAGE,2015,65,56,stedin
'S-GRAVENHAGE,2015,75,56,stedin
'S-GRAVENHAGE,2015,85,83,stedin
'S-GRAVENHAGE,2015,95,209,stedin
'S-GRAVENHAGE,2016,5,6977,stedin
'S-GRAVENHAGE,2016,15,2841,stedin
'S-GRAVENHAGE,2016,25,761,stedin
'S-GRAVENHAGE,2016,35,218,stedin
'S-GRAVENHAGE,2016,45,111,stedin
'S-GRAVENHAGE,2016,55,91,stedin
'S-GRAVENHAGE,2016,65,74,stedin
'S-GRAVENHAGE,2016,75,66,stedin
'S-GRAVENHAGE,2016,85,102,stedin
'S-GRAVENHAGE,2016,95,231,stedin
'S-GRAVENHAGE,2017,5,4992,stedin
'S-GRAVENHAGE,2017,15,3607,stedin
'S-GRAVENHAGE,2017,25,1512,stedin
'S-GRAVENHAGE,2017,35,464,stedin
'S-GRAVENHAGE,2017,45,194,stedin
'S-GRAVENHAGE,2017,55,137,stedin
'S-GRAVENHAGE,2017,65,112,stedin
'S-GRAVENHAGE,2017,75,112,stedin
'S-GRAVENHAGE,2017,85,120,stedin
'S-GRAVENHAGE,2017,95,270,stedin
'S-GRAVENHAGE,2018,5,3408,stedin
'S-GRAVENHAGE,2018,15,3349,stedin
'S-GRAVENHAGE,2018,25,1946,stedin
'S-GRAVENHAGE,2018,35,825,stedin
'S-GRAVENHAGE,2018,45,422,stedin
'S-GRAVENHAGE,2018,55,357,stedin
'S-GRAVENHAGE,2018,65,370,stedin
'S-GRAVENHAGE,2018,75,362,stedin
'S-GRAVENHAGE,2018,85,254,stedin
'S-GRAVENHAGE,2018,95,414,stedin
'S-GRAVENHAGE,2019,5,1540,stedin
'S-GRAVENHAGE,2019,15,2159,stedin
'S-GRAVENHAGE,2019,25,1807,stedin
'S-GRAVENHAGE,2019,35,1079,stedin
'S-GRAVENHAGE,2019,45,735,stedin
'S-GRAVENHAGE,2019,55,788,stedin
'S-GRAVENHAGE,2019,65,904,stedin
'S-GRAVENHAGE,2019,75,904,stedin
