city,years,c_per_conn_cut,c_per_conn_cut_count,companies
'S-GRAVENDEEL,2013,110,14,stedin
'S-GRAVENDEEL,2013,130,7,stedin
'S-GRAVENDEEL,2013,150,6,stedin
'S-GRAVENDEEL,2013,170,9,stedin
'S-GRAVENDEEL,2013,190,13,stedin
'S-GRAVENDEEL,2014,10,4,stedin
'S-GRAVENDEEL,2014,30,21,stedin
'S-GRAVENDEEL,2014,50,38,stedin
'S-GRAVENDEEL,2014,70,28,stedin
'S-GRAVENDEEL,2014,90,28,stedin
'S-GRAVENDEEL,2014,110,13,stedin
'S-GRAVENDEEL,2014,130,9,stedin
'S-GRAVENDEEL,2014,150,10,stedin
'S-GRAVENDEEL,2014,170,3,stedin
'S-GRAVENDEEL,2014,190,14,stedin
'S-GRAVENDEEL,2015,10,4,stedin
'S-GRAVENDEEL,2015,30,23,stedin
'S-GRAVENDEEL,2015,50,38,stedin
'S-GRAVENDEEL,2015,70,33,stedin
'S-GRAVENDEEL,2015,90,23,stedin
'S-GRAVENDEEL,2015,110,12,stedin
'S-GRAVENDEEL,2015,130,9,stedin
'S-GRAVENDEEL,2015,150,8,stedin
'S-GRAVENDEEL,2015,170,5,stedin
'S-GRAVENDEEL,2015,190,12,stedin
'S-GRAVENDEEL,2016,10,6,stedin
'S-GRAVENDEEL,2016,30,31,stedin
'S-GRAVENDEEL,2016,50,39,stedin
'S-GRAVENDEEL,2016,70,30,stedin
'S-GRAVENDEEL,2016,90,21,stedin
'S-GRAVENDEEL,2016,110,9,stedin
'S-GRAVENDEEL,2016,130,11,stedin
'S-GRAVENDEEL,2016,150,4,stedin
'S-GRAVENDEEL,2016,170,6,stedin
'S-GRAVENDEEL,2016,190,10,stedin
'S-GRAVENDEEL,2017,10,6,stedin
'S-GRAVENDEEL,2017,30,31,stedin
'S-GRAVENDEEL,2017,50,42,stedin
'S-GRAVENDEEL,2017,70,33,stedin
'S-GRAVENDEEL,2017,90,14,stedin
'S-GRAVENDEEL,2017,110,15,stedin
'S-GRAVENDEEL,2017,130,8,stedin
'S-GRAVENDEEL,2017,150,4,stedin
'S-GRAVENDEEL,2017,170,2,stedin
'S-GRAVENDEEL,2017,190,13,stedin
'S-GRAVENDEEL,2018,10,7,stedin
'S-GRAVENDEEL,2018,30,29,stedin
'S-GRAVENDEEL,2018,50,40,stedin
'S-GRAVENDEEL,2018,70,30,stedin
'S-GRAVENDEEL,2018,90,20,stedin
'S-GRAVENDEEL,2018,110,13,stedin
'S-GRAVENDEEL,2018,130,12,stedin
'S-GRAVENDEEL,2018,150,3,stedin
'S-GRAVENDEEL,2018,170,4,stedin
'S-GRAVENDEEL,2018,190,10,stedin
'S-GRAVENDEEL,2019,10,6,stedin
'S-GRAVENDEEL,2019,30,29,stedin
'S-GRAVENDEEL,2019,50,42,stedin
'S-GRAVENDEEL,2019,70,29,stedin
'S-GRAVENDEEL,2019,90,18,stedin
'S-GRAVENDEEL,2019,110,13,stedin
'S-GRAVENDEEL,2019,130,11,stedin
'S-GRAVENDEEL,2019,150,2,stedin
'S-GRAVENDEEL,2019,170,5,stedin
'S-GRAVENDEEL,2019,190,12,stedin
