city,years,companies,annual_consume
AARLE-RIXTEL,2019,enexis,240.709
AARTSWOUD,2010,liander,25.514
AARTSWOUD,2011,liander,25.932
AARTSWOUD,2012,liander,24.844
AARTSWOUD,2013,liander,23.987
AARTSWOUD,2014,liander,23.33
AARTSWOUD,2015,liander,23.715
AARTSWOUD,2016,liander,23.285
AARTSWOUD,2017,liander,22.826
AARTSWOUD,2018,liander,22.662
AARTSWOUD,2019,liander,22.678
ABBEGA,2010,enexis,12.039
ABBEGA,2011,enexis,12.249
ABBEGA,2012,enexis,12.169
ABBEGA,2013,enexis,11.615
ABBEGA,2014,enexis,11.158
ABBEGA,2015,enexis,10.936
ABBEGA,2016,liander,10.112
ABBEGA,2017,liander,10.153
ABBEGA,2018,liander,9.975
ABBEGA,2019,liander,10.009
ABBEKERK,2010,liander,90.403
ABBEKERK,2011,liander,89.378
ABBEKERK,2012,liander,87.425
ABBEKERK,2013,liander,84.074
ABBEKERK,2014,liander,81.146
ABBEKERK,2015,liander,79.021
ABBEKERK,2016,liander,76.497
ABBEKERK,2017,liander,76.301
ABBEKERK,2018,liander,74.925
ABBEKERK,2019,liander,74.696
ABBENBROEK,2010,stedin,40.458
ABBENBROEK,2011,stedin,40.458
ABBENBROEK,2012,stedin,40.458
ABBENBROEK,2013,stedin,40.201
ABBENBROEK,2014,stedin,40.306
ABBENBROEK,2015,stedin,40.552
ABBENBROEK,2016,stedin,38.632
ABBENBROEK,2017,stedin,37.183
ABBENBROEK,2018,stedin,36.903
ABBENBROEK,2019,stedin,38.028
ABBENES,2011,liander,51.819
ABBENES,2012,liander,60.017
ABBENES,2013,liander,57.041
ABBENES,2014,liander,52.859
ABBENES,2015,liander,51.301
ABBENES,2016,liander,50.459
ABBENES,2017,liander,49.704
ABBENES,2018,liander,49.296
ABBENES,2019,liander,50.147
ABCOUDE,2010,stedin,362.369
ABCOUDE,2011,stedin,362.321
ABCOUDE,2012,stedin,361.834
ABCOUDE,2013,stedin,364.765
ABCOUDE,2014,stedin,364.047
ABCOUDE,2015,stedin,350.099
ABCOUDE,2016,stedin,344.979
ABCOUDE,2017,stedin,336.767
ABCOUDE,2018,stedin,334.598
ABCOUDE,2019,stedin,318.85
ACHLUM,2010,enexis,20.176
ACHLUM,2011,enexis,20.932
ACHLUM,2012,enexis,20.516
ACHLUM,2013,enexis,20.504
ACHLUM,2014,enexis,19.477
ACHLUM,2015,enexis,18.86
ACHLUM,2016,liander,19.839
ACHLUM,2017,liander,19.965
ACHLUM,2018,liander,19.886
ACHLUM,2019,liander,20.093
ACHTERVELD,2010,stedin,113.445
ACHTERVELD,2011,stedin,114.586
ACHTERVELD,2012,stedin,113.887
ACHTERVELD,2013,stedin,109.096
ACHTERVELD,2014,stedin,107.891
ACHTERVELD,2015,stedin,103.232
ACHTERVELD,2016,stedin,112.051
