city,years,lowtarif_cut,lowtarif_cut_count,companies
SWIFTERBANT,2016,45,14,liander
SWIFTERBANT,2016,55,34,liander
SWIFTERBANT,2016,65,20,liander
SWIFTERBANT,2016,75,14,liander
SWIFTERBANT,2016,85,14,liander
SWIFTERBANT,2016,95,12,liander
SWIFTERBANT,2017,5,1,liander
SWIFTERBANT,2017,15,3,liander
SWIFTERBANT,2017,25,7,liander
SWIFTERBANT,2017,35,10,liander
SWIFTERBANT,2017,45,16,liander
SWIFTERBANT,2017,55,30,liander
SWIFTERBANT,2017,65,18,liander
SWIFTERBANT,2017,75,18,liander
SWIFTERBANT,2017,85,18,liander
SWIFTERBANT,2017,95,13,liander
SWIFTERBANT,2018,5,1,liander
SWIFTERBANT,2018,15,2,liander
SWIFTERBANT,2018,25,3,liander
SWIFTERBANT,2018,35,10,liander
SWIFTERBANT,2018,45,16,liander
SWIFTERBANT,2018,55,27,liander
SWIFTERBANT,2018,65,24,liander
SWIFTERBANT,2018,75,21,liander
SWIFTERBANT,2018,85,16,liander
SWIFTERBANT,2018,95,14,liander
SWIFTERBANT,2019,45,2,liander
SWIFTERBANT,2019,55,4,liander
SWIFTERBANT,2019,65,6,liander
SWIFTERBANT,2019,75,20,liander
SWIFTERBANT,2019,85,43,liander
SWIFTERBANT,2019,95,59,liander
SWOLGEN,2010,35,1,enexis
SWOLGEN,2010,45,5,enexis
SWOLGEN,2010,55,16,enexis
SWOLGEN,2011,45,6,enexis
SWOLGEN,2011,55,16,enexis
SWOLGEN,2012,45,6,enexis
SWOLGEN,2012,55,15,enexis
SWOLGEN,2012,65,1,enexis
SWOLGEN,2013,45,6,enexis
SWOLGEN,2013,55,17,enexis
SWOLGEN,2013,65,1,enexis
SWOLGEN,2014,45,6,enexis
SWOLGEN,2014,55,18,enexis
SWOLGEN,2015,45,5,enexis
SWOLGEN,2015,55,18,enexis
SWOLGEN,2015,65,1,enexis
SWOLGEN,2016,45,4,enexis
SWOLGEN,2016,55,21,enexis
SWOLGEN,2017,45,3,enexis
SWOLGEN,2017,55,22,enexis
SWOLGEN,2018,15,1,enexis
SWOLGEN,2018,45,2,enexis
SWOLGEN,2018,55,26,enexis
SWOLGEN,2019,35,1,enexis
SWOLGEN,2019,45,4,enexis
SWOLGEN,2019,55,25,enexis
T HARDE,2010,45,1,liander
T HARDE,2010,55,1,liander
T HARDE,2011,55,1,liander
T HARDE,2011,65,1,liander
T HARDE,2012,55,1,liander
T HARDE,2012,65,1,liander
T HARDE,2013,55,1,liander
T HARDE,2013,65,1,liander
T HARDE,2014,55,2,liander
T HARDE,2015,55,1,liander
T HARDE,2015,65,1,liander
T HARDE,2016,55,1,liander
T HARDE,2016,65,1,liander
T HARDE,2017,55,1,liander
T HARDE,2017,75,1,liander
T HARDE,2018,75,1,liander
T HARDE,2019,75,1,liander
TAARLO,2010,45,3,enexis
TAARLO,2011,35,1,enexis
TAARLO,2011,45,2,enexis
TAARLO,2012,35,1,enexis
TAARLO,2012,45,2,enexis
TAARLO,2013,45,3,enexis
TAARLO,2014,35,1,enexis
TAARLO,2014,45,2,enexis
TAARLO,2015,35,1,enexis
TAARLO,2015,45,2,enexis
TAARLO,2016,45,1,enexis
TAARLO,2016,55,1,enexis
TAARLO,2016,65,1,enexis
TAARLO,2017,45,2,enexis
TAARLO,2017,55,1,enexis
TAARLO,2018,35,1,enexis
TAARLO,2018,45,1,enexis
TAARLO,2018,55,1,enexis
TAARLO,2019,35,1,enexis
TAARLO,2019,45,2,enexis
TEEFFELEN,2010,45,3,enexis
TEEFFELEN,2010,55,1,enexis
TEEFFELEN,2011,45,2,enexis
TEEFFELEN,2011,55,2,enexis
TEEFFELEN,2012,45,3,enexis
TEEFFELEN,2012,55,1,enexis
TEEFFELEN,2013,45,3,enexis
TEEFFELEN,2013,55,1,enexis
TEEFFELEN,2014,35,1,enexis
TEEFFELEN,2014,45,3,enexis
TEEFFELEN,2015,35,4,enexis
TEEFFELEN,2015,45,2,enexis
TEEFFELEN,2016,35,4,enexis
TEEFFELEN,2016,45,2,enexis
TEEFFELEN,2017,35,2,enexis
TEEFFELEN,2017,45,4,enexis
TEEFFELEN,2018,35,2,enexis
TEEFFELEN,2018,45,3,enexis
TEEFFELEN,2019,45,1,enexis
TEEFFELEN,2019,55,4,enexis
TEERNS,2010,25,1,enexis
TEERNS,2011,25,1,enexis
TEERNS,2012,25,1,enexis
TEERNS,2013,45,1,enexis
TEERNS,2014,25,1,enexis
TEERNS,2015,45,1,enexis
TEGELEN,2010,5,1,enexis
TEGELEN,2010,15,4,enexis
TEGELEN,2010,25,7,enexis
TEGELEN,2010,35,37,enexis
TEGELEN,2010,45,110,enexis
TEGELEN,2010,55,117,enexis
TEGELEN,2010,65,2,enexis
TEGELEN,2010,75,1,enexis
TEGELEN,2011,5,2,enexis
TEGELEN,2011,15,1,enexis
TEGELEN,2011,25,6,enexis
TEGELEN,2011,35,27,enexis
TEGELEN,2011,45,120,enexis
TEGELEN,2011,55,123,enexis
TEGELEN,2011,65,8,enexis
TEGELEN,2012,5,2,enexis
TEGELEN,2012,15,1,enexis
TEGELEN,2012,25,5,enexis
TEGELEN,2012,35,31,enexis
TEGELEN,2012,45,111,enexis
TEGELEN,2012,55,136,enexis
TEGELEN,2012,65,6,enexis
TEGELEN,2013,5,2,enexis
TEGELEN,2013,15,1,enexis
TEGELEN,2013,25,3,enexis
TEGELEN,2013,35,29,enexis
TEGELEN,2013,45,110,enexis
TEGELEN,2013,55,145,enexis
TEGELEN,2013,65,4,enexis
TEGELEN,2014,5,2,enexis
TEGELEN,2014,15,1,enexis
TEGELEN,2014,25,2,enexis
TEGELEN,2014,35,22,enexis
TEGELEN,2014,45,104,enexis
TEGELEN,2014,55,158,enexis
TEGELEN,2014,65,7,enexis
TEGELEN,2015,15,1,enexis
TEGELEN,2015,35,21,enexis
TEGELEN,2015,45,86,enexis
TEGELEN,2015,55,185,enexis
TEGELEN,2015,65,3,enexis
TEGELEN,2016,15,1,enexis
TEGELEN,2016,25,1,enexis
TEGELEN,2016,35,16,enexis
TEGELEN,2016,45,98,enexis
TEGELEN,2016,55,178,enexis
TEGELEN,2016,65,1,enexis
TEGELEN,2017,35,6,enexis
TEGELEN,2017,45,28,enexis
TEGELEN,2017,55,257,enexis
TEGELEN,2017,65,4,enexis
TEGELEN,2017,75,1,enexis
TEGELEN,2018,35,4,enexis
TEGELEN,2018,45,41,enexis
TEGELEN,2018,55,259,enexis
TEGELEN,2018,65,2,enexis
TEGELEN,2019,35,6,enexis
TEGELEN,2019,45,34,enexis
TEGELEN,2019,55,265,enexis
TEGELEN,2019,65,4,enexis
TEN BOER,2010,5,7,enexis
TEN BOER,2010,15,12,enexis
TEN BOER,2010,25,21,enexis
TEN BOER,2010,35,27,enexis
TEN BOER,2010,45,20,enexis
TEN BOER,2010,55,1,enexis
TEN BOER,2011,5,9,enexis
TEN BOER,2011,15,11,enexis
TEN BOER,2011,25,23,enexis
TEN BOER,2011,35,28,enexis
TEN BOER,2011,45,19,enexis
TEN BOER,2012,5,7,enexis
TEN BOER,2012,15,15,enexis
TEN BOER,2012,25,25,enexis
TEN BOER,2012,35,28,enexis
TEN BOER,2012,45,15,enexis
TEN BOER,2012,55,1,enexis
TEN BOER,2013,5,8,enexis
TEN BOER,2013,15,14,enexis
TEN BOER,2013,25,23,enexis
TEN BOER,2013,35,28,enexis
TEN BOER,2013,45,21,enexis
TEN BOER,2013,55,2,enexis
TEN BOER,2014,5,5,enexis
TEN BOER,2014,15,10,enexis
TEN BOER,2014,25,22,enexis
