city,years,companies,annual_consume
BOKSUM,2013,liander,53.399
BOKSUM,2014,liander,58.033
BOKSUM,2015,liander,56.036
BOKSUM,2016,liander,54.543
BOKSUM,2017,liander,54.977
BOKSUM,2018,liander,56.226
BOKSUM,2019,liander,55.051
BOLSWARD,2010,liander,1049.72
BOLSWARD,2011,liander,1068.82
BOLSWARD,2012,liander,1098.03
BOLSWARD,2013,liander,1105.16
BOLSWARD,2014,liander,1073.04
BOLSWARD,2015,liander,1026.22
BOLSWARD,2016,liander,1006.48
BOLSWARD,2017,liander,993.65
BOLSWARD,2018,liander,973.537
BOLSWARD,2019,liander,960.101
BONTEBOK,2010,liander,47.712
BONTEBOK,2011,liander,47.475
BONTEBOK,2012,liander,44.685
BONTEBOK,2013,liander,43.946
BONTEBOK,2014,liander,45.31
BONTEBOK,2015,liander,44.266
BONTEBOK,2016,liander,43.223
BONTEBOK,2017,liander,37.348
BONTEBOK,2018,liander,37.301
BONTEBOK,2019,liander,37.979
BOORNBERGUM,2010,liander,135.591
BOORNBERGUM,2011,liander,136.118
BOORNBERGUM,2012,liander,134.723
BOORNBERGUM,2013,liander,133.682
BOORNBERGUM,2014,liander,145.56
BOORNBERGUM,2015,liander,132.615
BOORNBERGUM,2016,liander,132.502
BOORNBERGUM,2017,liander,124.819
BOORNBERGUM,2018,liander,124.602
BOORNBERGUM,2019,liander,124.219
BOORNZWAAG,2010,liander,37.109
BOORNZWAAG,2011,liander,52.909
BOORNZWAAG,2012,liander,52.106
BOORNZWAAG,2013,liander,50.694
BOORNZWAAG,2014,liander,25.618
BOORNZWAAG,2015,liander,23.946
BOORNZWAAG,2016,liander,23.882
BOORNZWAAG,2017,liander,24.173
BOORNZWAAG,2018,liander,23.84
BOORNZWAAG,2019,liander,23.103
BORCULO,2010,liander,905.19
BORCULO,2011,liander,919.67
BORCULO,2012,liander,943.019
BORCULO,2013,liander,938.701
BORCULO,2014,liander,875.041
BORCULO,2015,liander,863.424
BORCULO,2016,liander,870.783
BORCULO,2017,liander,845.492
BORCULO,2018,liander,824.639
BORCULO,2019,liander,796.534
BORGER,2010,enexis,499.413
BORGER,2011,enexis,562.579
BORGER,2012,enexis,567.091
BORGER,2013,enexis,563.373
BORGER,2014,enexis,556.765
BORGER,2015,enexis,538.838
BORGER,2016,enexis,535.13
BORGER,2017,enexis,517.936
BORGER,2018,enexis,520.389
BORGER,2019,enexis,504.751
BORGERCOMPAGNIE,2010,enexis,59.031
BORGERCOMPAGNIE,2011,enexis,63.345
BORGERCOMPAGNIE,2012,enexis,68.676
BORGERCOMPAGNIE,2013,enexis,63.555
BORGERCOMPAGNIE,2014,enexis,64.457
BORGERCOMPAGNIE,2015,enexis,60.687
BORGERCOMPAGNIE,2016,enexis,60.841
BORGERCOMPAGNIE,2017,enexis,57.754
BORGERCOMPAGNIE,2018,enexis,56.183
BORGERCOMPAGNIE,2019,enexis,57.513
BORGSWEER,2010,enexis,18.247
BORGSWEER,2011,enexis,17.343
BORGSWEER,2012,enexis,18.37
BORGSWEER,2013,enexis,16.469
BORGSWEER,2014,enexis,15.079
BORGSWEER,2015,enexis,14.902
BORGSWEER,2016,enexis,13.382
BORGSWEER,2017,enexis,12.374
BORGSWEER,2018,enexis,25.054
BORGSWEER,2019,enexis,26.031
BORN,2010,enexis,480.617
BORN,2011,enexis,505.505
BORN,2012,enexis,520.853
BORN,2013,enexis,524.617
BORN,2014,enexis,524.891
BORN,2015,enexis,506.113
BORN,2016,enexis,518.14
BORN,2017,enexis,520.646
BORN,2018,enexis,556.555
BORN,2019,enexis,512.102
BORNE,2010,enexis,1407.78
BORNE,2011,enexis,1407.66
BORNE,2012,enexis,1474.33
BORNE,2013,enexis,1872.46
BORNE,2014,enexis,1905.47
BORNE,2015,enexis,1847.29
BORNE,2016,enexis,1828.2
BORNE,2017,enexis,1817.46
BORNE,2018,enexis,1921.9
BORNE,2019,enexis,1875.54
BORNERBROEK,2010,enexis,85.077
BORNERBROEK,2011,enexis,83.629
BORNERBROEK,2012,enexis,91.574
BORNERBROEK,2013,enexis,276.856
BORNERBROEK,2014,enexis,267.817
BORNERBROEK,2015,enexis,249.059
BORNERBROEK,2016,enexis,247.142
BORNERBROEK,2017,enexis,248.208
BORNERBROEK,2018,enexis,350.102
BORNERBROEK,2019,enexis,336.722
BORNWIRD,2010,liander,12.483
BORNWIRD,2011,liander,12.764
BORNWIRD,2012,liander,12.828
BORNWIRD,2013,liander,13.001
BORNWIRD,2014,liander,11.556
BORNWIRD,2015,liander,11.332
BORNWIRD,2016,liander,11.348
BORNWIRD,2017,liander,11.995
BORNWIRD,2018,liander,12.803
BORNWIRD,2019,liander,12.837
BOSCH EN DUIN,2010,stedin,341.339
BOSCH EN DUIN,2011,stedin,345.386
BOSCH EN DUIN,2012,stedin,345.88
BOSCH EN DUIN,2013,stedin,352.621
BOSCH EN DUIN,2014,stedin,361.092
BOSCH EN DUIN,2015,stedin,357.1
BOSCH EN DUIN,2016,stedin,349.571
BOSCH EN DUIN,2017,stedin,351.925
BOSCH EN DUIN,2018,stedin,358.908
BOSCH EN DUIN,2019,stedin,341.53
BOSCHOORD,2018,enexis,13.341
BOSCHOORD,2019,enexis,13.169
BOSKOOP,2010,liander,1448.8
BOSKOOP,2011,liander,1443.82
BOSKOOP,2012,liander,1412.88
BOSKOOP,2013,liander,1405.8
BOSKOOP,2014,liander,1407.04
BOSKOOP,2015,liander,1372.09
BOSKOOP,2016,liander,1343.17
BOSKOOP,2017,liander,1310.88
BOSKOOP,2018,liander,1301.89
BOSKOOP,2019,liander,1292
BOSSCHENHOOFD,2010,enexis,254.02
BOSSCHENHOOFD,2011,enexis,246.129
BOSSCHENHOOFD,2012,enexis,270.689
BOSSCHENHOOFD,2013,enexis,286.19
BOSSCHENHOOFD,2014,enexis,292.388
BOSSCHENHOOFD,2015,enexis,291.253
BOSSCHENHOOFD,2016,enexis,279.951
BOSSCHENHOOFD,2017,enexis,293.073
BOSSCHENHOOFD,2018,enexis,320.035
BOSSCHENHOOFD,2019,enexis,315.021
BOTLEK ROTTERDAM,2010,stedin,33.455
BOTLEK ROTTERDAM,2011,stedin,32.406
BOTLEK ROTTERDAM,2012,stedin,31.298
BOTLEK ROTTERDAM,2013,stedin,32.942
BOTLEK ROTTERDAM,2014,stedin,51.536
BOTLEK ROTTERDAM,2015,stedin,51.213
BOTLEK ROTTERDAM,2016,stedin,74.694
BOTLEK ROTTERDAM,2017,stedin,77.779
BOTLEK ROTTERDAM,2018,stedin,75.682
BOTLEK ROTTERDAM,2019,stedin,55.921
BOURTANGE,2010,enexis,81.058
BOURTANGE,2011,enexis,90.303
BOURTANGE,2012,enexis,89.275
BOURTANGE,2013,enexis,89.615
BOURTANGE,2014,enexis,92.277
BOURTANGE,2015,enexis,89.854
BOURTANGE,2016,enexis,85.753
BOURTANGE,2017,enexis,84.35
BOURTANGE,2018,enexis,102.129
BOURTANGE,2019,enexis,100.596
BOVEN-LEEUWEN,2010,liander,309.568
BOVEN-LEEUWEN,2011,liander,314.058
BOVEN-LEEUWEN,2012,liander,310.041
BOVEN-LEEUWEN,2013,liander,335.823
BOVEN-LEEUWEN,2014,liander,321.809
BOVEN-LEEUWEN,2015,liander,317.271
BOVEN-LEEUWEN,2016,liander,310.678
BOVEN-LEEUWEN,2017,liander,312.164
BOVEN-LEEUWEN,2018,liander,316.694
BOVEN-LEEUWEN,2019,liander,299.346
BOVENKARSPEL,2010,liander,1060.96
BOVENKARSPEL,2011,liander,1034.93
BOVENKARSPEL,2012,liander,1043.74
BOVENKARSPEL,2013,liander,1011.5
BOVENKARSPEL,2014,liander,978.918
BOVENKARSPEL,2015,liander,943.966
BOVENKARSPEL,2016,liander,908.411
BOVENKARSPEL,2017,liander,889.164
BOVENKARSPEL,2018,liander,872.701
BOVENKARSPEL,2019,liander,860.337
BOVENSMILDE,2010,enexis,311.65
BOVENSMILDE,2011,enexis,313.359
BOVENSMILDE,2012,enexis,307.48
BOVENSMILDE,2013,enexis,318.565
BOVENSMILDE,2014,enexis,311.575
BOVENSMILDE,2015,enexis,299.834
BOVENSMILDE,2016,enexis,291.157
BOVENSMILDE,2017,enexis,279.732
BOVENSMILDE,2018,enexis,281.371
BOVENSMILDE,2019,enexis,273.192
BOXMEER,2010,enexis,1298.44
BOXMEER,2011,enexis,1292.88
BOXMEER,2012,enexis,1313.43
BOXMEER,2013,enexis,1281.47
BOXMEER,2014,enexis,1255.34
BOXMEER,2015,enexis,1214.2
BOXMEER,2016,enexis,1170.4
BOXMEER,2017,enexis,1150.02
BOXMEER,2018,enexis,1222.28
BOXMEER,2019,enexis,1198.51
BOXTEL,2010,enexis,2202.49
BOXTEL,2011,enexis,2296.38
BOXTEL,2012,enexis,2336.52
BOXTEL,2013,enexis,2282.78
BOXTEL,2014,enexis,2261.56
BOXTEL,2015,enexis,2211.9
BOXTEL,2016,enexis,2192.06
BOXTEL,2017,enexis,2168.54
BOXTEL,2018,enexis,2408.31
BOXTEL,2019,enexis,2357.45
BRAAMT,2010,liander,129.77
BRAAMT,2011,liander,129.092
BRAAMT,2012,liander,147.156
BRAAMT,2013,liander,132.769
BRAAMT,2014,liander,115.209
BRAAMT,2015,liander,115.339
BRAAMT,2016,liander,108.798
BRAAMT,2017,liander,102.395
BRAAMT,2018,liander,112.57
BRAAMT,2019,liander,119.882
BRAKEL,2010,liander,426.341
BRAKEL,2011,liander,408.772
BRAKEL,2012,liander,422.865
BRAKEL,2013,liander,415.605
BRAKEL,2014,liander,425.779
BRAKEL,2015,liander,409.751
BRAKEL,2016,liander,403.728
BRAKEL,2017,liander,383.212
BRAKEL,2018,liander,390.66
BRAKEL,2019,liander,382.103
BRANDWIJK,2010,stedin,142.003
BRANDWIJK,2011,stedin,142.43
BRANDWIJK,2012,stedin,142.797
BRANDWIJK,2013,stedin,142.102
BRANDWIJK,2014,stedin,144.757
BRANDWIJK,2015,stedin,136.347
BRANDWIJK,2016,stedin,132.792
BRANDWIJK,2017,stedin,135.124
BRANDWIJK,2018,stedin,137.023
BRANDWIJK,2019,stedin,134.53
BRANTGUM,2010,liander,22.397
BRANTGUM,2011,liander,21.934
BRANTGUM,2012,liander,22.554
BRANTGUM,2013,liander,21.519
BRANTGUM,2014,liander,21.25
BRANTGUM,2015,liander,19.992
BRANTGUM,2016,liander,19.808
BRANTGUM,2017,liander,19.509
BRANTGUM,2018,liander,20.505
BRANTGUM,2019,liander,20.596
BREDA,2010,enexis,12102.9
BREDA,2011,enexis,12434.5
BREDA,2012,enexis,12579.2
BREDA,2013,enexis,12449.3
BREDA,2014,enexis,12376.8
BREDA,2015,enexis,12098.1
BREDA,2016,enexis,11826
BREDA,2017,enexis,11672
BREDA,2018,enexis,12109.1
BREDA,2019,enexis,11883.7
BREDEVOORT,2010,liander,187.49
BREDEVOORT,2011,liander,186.471
BREDEVOORT,2012,liander,190.425
BREDEVOORT,2013,liander,186.525
BREDEVOORT,2014,liander,175.787
BREDEVOORT,2015,liander,167.896
BREDEVOORT,2016,liander,162.419
BREDEVOORT,2017,liander,159.343
BREDEVOORT,2018,liander,159.23
BREDEVOORT,2019,liander,162.604
BREEDENBROEK,2010,liander,167.4
BREEDENBROEK,2011,liander,171.688
BREEDENBROEK,2012,liander,176.965
BREEDENBROEK,2013,liander,173.977
BREEDENBROEK,2014,liander,158.738
BREEDENBROEK,2015,liander,153.803
BREEDENBROEK,2016,liander,152.655
BREEDENBROEK,2017,liander,151.503
BREEDENBROEK,2018,liander,149.475
BREEDENBROEK,2019,liander,147.788
BREEZAND,2010,liander,642.487
BREEZAND,2011,liander,619.612
BREEZAND,2012,liander,616.002
BREEZAND,2013,liander,593.922
BREEZAND,2014,liander,585.702
BREEZAND,2015,liander,561.625
BREEZAND,2016,liander,567.811
BREEZAND,2017,liander,551.011
BREEZAND,2018,liander,539.668
BREEZAND,2019,liander,529.059
BREUKELEN,2015,stedin,4.398
BREUKELEN,2016,stedin,4.252
BREUKELEN,2017,stedin,3.835
BREUKELEN UT,2010,stedin,1153.7
BREUKELEN UT,2011,stedin,1155.18
BREUKELEN UT,2012,stedin,1166.92
BREUKELEN UT,2013,stedin,1167.56
BREUKELEN UT,2014,stedin,1167.64
BREUKELEN UT,2015,stedin,1114.72
BREUKELEN UT,2016,stedin,1085.42
BREUKELEN UT,2017,stedin,1076.32
BREUKELEN UT,2018,stedin,1069.3
BREUKELEN UT,2019,stedin,988.919
BREUKELEVEEN,2010,stedin,53.556
BREUKELEVEEN,2011,stedin,53.756
BREUKELEVEEN,2012,stedin,53.545
BREUKELEVEEN,2013,stedin,55.956
BREUKELEVEEN,2014,stedin,53.718
BREUKELEVEEN,2015,stedin,52.613
BREUKELEVEEN,2016,stedin,49.868
BREUKELEVEEN,2017,stedin,48.762
BREUKELEVEEN,2018,stedin,51.797
BREUKELEVEEN,2019,stedin,46.759
BRIELLE,2010,stedin,970.775
BRIELLE,2011,stedin,976.721
BRIELLE,2012,stedin,972.455
BRIELLE,2013,stedin,974.738
BRIELLE,2014,stedin,988.937
BRIELLE,2015,stedin,932.901
BRIELLE,2016,stedin,923.977
BRIELLE,2017,stedin,926.657
BRIELLE,2018,stedin,917.407
BRIELLE,2019,stedin,872.311
BRILTIL,2010,enexis,27.137
BRILTIL,2011,enexis,40.541
BRILTIL,2012,enexis,50.89
BRILTIL,2013,enexis,60.356
BRILTIL,2014,enexis,59.666
BRILTIL,2015,enexis,58.173
BRILTIL,2016,enexis,53.187
BRILTIL,2017,enexis,58.858
BRILTIL,2018,enexis,55.331
BRILTIL,2019,enexis,55.084
BRITSUM,2010,liander,75.406
BRITSUM,2011,liander,76.046
BRITSUM,2012,liander,82.078
BRITSUM,2013,liander,80.114
BRITSUM,2014,liander,86.849
BRITSUM,2015,liander,81.037
BRITSUM,2016,liander,76.795
BRITSUM,2017,liander,73.426
BRITSUM,2018,liander,68.209
BRITSUM,2019,liander,64.882
BRITSWERT,2010,liander,14.173
BRITSWERT,2011,liander,14.197
BRITSWERT,2012,liander,18.289
BRITSWERT,2013,liander,18.941
BRITSWERT,2014,liander,19.753
BRITSWERT,2015,liander,20.749
BRITSWERT,2016,liander,20.105
BRITSWERT,2017,liander,22.41
BRITSWERT,2018,liander,22.122
BRITSWERT,2019,liander,22.159
BROEK FR,2010,liander,54.21
BROEK FR,2011,liander,58.234
BROEK FR,2012,liander,54.794
BROEK FR,2013,liander,62.854
BROEK FR,2014,liander,66.294
BROEK FR,2015,liander,68.302
BROEK FR,2016,liander,67.848
BROEK FR,2017,liander,74.436
BROEK FR,2018,liander,86.025
BROEK FR,2019,liander,80.705
BROEK IN WATERLAND,2010,liander,290.917
BROEK IN WATERLAND,2011,liander,314.537
BROEK IN WATERLAND,2012,liander,312.628
BROEK IN WATERLAND,2013,liander,310.713
BROEK IN WATERLAND,2014,liander,310.047
BROEK IN WATERLAND,2015,liander,271.063
BROEK IN WATERLAND,2016,liander,292.848
BROEK IN WATERLAND,2017,liander,292.364
BROEK IN WATERLAND,2018,liander,318.506
BROEK IN WATERLAND,2019,liander,301.576
BROEK OP LANGEDIJK,2010,liander,584.922
BROEK OP LANGEDIJK,2011,liander,587.726
BROEK OP LANGEDIJK,2012,liander,588.656
BROEK OP LANGEDIJK,2013,liander,573.054
BROEK OP LANGEDIJK,2014,liander,610.212
BROEK OP LANGEDIJK,2015,liander,571.645
BROEK OP LANGEDIJK,2016,liander,560.802
BROEK OP LANGEDIJK,2017,liander,552.75
BROEK OP LANGEDIJK,2018,liander,547.088
BROEK OP LANGEDIJK,2019,liander,533.379
BROEKHUIZEN DR,2010,enexis,23.22
BROEKHUIZEN DR,2011,enexis,25.807
BROEKHUIZEN DR,2012,enexis,25.409
BROEKHUIZEN DR,2013,enexis,21.476
BROEKHUIZEN DR,2014,enexis,24.704
BROEKHUIZEN DR,2015,enexis,23.042
BROEKHUIZEN DR,2016,enexis,23.514
BROEKHUIZEN DR,2017,enexis,23.292
BROEKHUIZEN DR,2018,enexis,41.564
BROEKHUIZEN DR,2019,enexis,44.327
BROEKHUIZEN LB,2010,enexis,76.08
BROEKHUIZEN LB,2011,enexis,75.181
BROEKHUIZEN LB,2012,enexis,73.828
BROEKHUIZEN LB,2013,enexis,81.7
BROEKHUIZEN LB,2014,enexis,81.281
BROEKHUIZEN LB,2015,enexis,76.882
BROEKHUIZEN LB,2016,enexis,83.571
BROEKHUIZEN LB,2017,enexis,81.799
BROEKHUIZEN LB,2018,enexis,95.143
BROEKHUIZEN LB,2019,enexis,97.05
BROEKHUIZENVORST,2010,enexis,107.259
BROEKHUIZENVORST,2011,enexis,106.464
BROEKHUIZENVORST,2012,enexis,100.911
BROEKHUIZENVORST,2013,enexis,114.225
BROEKHUIZENVORST,2014,enexis,124.274
BROEKHUIZENVORST,2015,enexis,109.703
BROEKHUIZENVORST,2016,enexis,118.262
BROEKHUIZENVORST,2017,enexis,113.389
BROEKHUIZENVORST,2018,enexis,124.709
BROEKHUIZENVORST,2019,enexis,126.166
BROEKLAND OV,2010,enexis,132.755
