city,years,smartmeter_cut,smartmeter_cut_count,companies
'S-HEERENBERG,2010,5,175,liander
'S-HEERENBERG,2011,5,176,liander
'S-HEERENBERG,2012,5,178,liander
'S-HEERENBERG,2013,5,176,liander
'S-HEERENBERG,2013,15,3,liander
'S-HEERENBERG,2013,75,1,liander
'S-HEERENBERG,2014,5,143,liander
'S-HEERENBERG,2014,15,23,liander
'S-HEERENBERG,2014,25,7,liander
'S-HEERENBERG,2014,35,5,liander
'S-HEERENBERG,2014,65,2,liander
'S-HEERENBERG,2014,75,2,liander
'S-HEERENBERG,2014,95,3,liander
'S-HEERENBERG,2015,5,126,liander
'S-HEERENBERG,2015,15,35,liander
'S-HEERENBERG,2015,25,10,liander
'S-HEERENBERG,2015,35,4,liander
'S-HEERENBERG,2015,45,1,liander
'S-HEERENBERG,2015,55,1,liander
'S-HEERENBERG,2015,65,3,liander
'S-HEERENBERG,2015,75,3,liander
'S-HEERENBERG,2015,95,2,liander
'S-HEERENBERG,2016,5,102,liander
'S-HEERENBERG,2016,15,51,liander
'S-HEERENBERG,2016,25,16,liander
'S-HEERENBERG,2016,35,4,liander
'S-HEERENBERG,2016,45,4,liander
'S-HEERENBERG,2016,55,2,liander
'S-HEERENBERG,2016,65,1,liander
'S-HEERENBERG,2016,75,2,liander
'S-HEERENBERG,2016,95,5,liander
'S-HEERENBERG,2017,5,70,liander
'S-HEERENBERG,2017,15,58,liander
'S-HEERENBERG,2017,25,35,liander
'S-HEERENBERG,2017,35,10,liander
'S-HEERENBERG,2017,45,1,liander
'S-HEERENBERG,2017,55,3,liander
'S-HEERENBERG,2017,65,3,liander
'S-HEERENBERG,2017,75,3,liander
'S-HEERENBERG,2017,95,5,liander
'S-HEERENBERG,2018,5,30,liander
'S-HEERENBERG,2018,15,46,liander
'S-HEERENBERG,2018,25,33,liander
'S-HEERENBERG,2018,35,24,liander
'S-HEERENBERG,2018,45,13,liander
'S-HEERENBERG,2018,55,9,liander
'S-HEERENBERG,2018,65,11,liander
'S-HEERENBERG,2018,75,9,liander
'S-HEERENBERG,2018,85,6,liander
'S-HEERENBERG,2018,95,7,liander
'S-HEERENBERG,2019,5,1,liander
'S-HEERENBERG,2019,15,3,liander
'S-HEERENBERG,2019,25,3,liander
'S-HEERENBERG,2019,35,3,liander
'S-HEERENBERG,2019,45,3,liander
'S-HEERENBERG,2019,55,5,liander
'S-HEERENBERG,2019,65,18,liander
'S-HEERENBERG,2019,75,38,liander
'S-HEERENBERG,2019,85,69,liander
'S-HEERENBERG,2019,95,47,liander
'S-HEERENBROEK,2010,5,8,enexis
'S-HEERENBROEK,2011,5,8,enexis
'S-HEERENBROEK,2012,5,8,enexis
'S-HEERENBROEK,2013,5,8,enexis
'S-HEERENBROEK,2014,5,8,enexis
'S-HEERENBROEK,2015,15,8,enexis
'S-HEERENBROEK,2016,15,8,enexis
'S-HEERENBROEK,2017,25,8,enexis
'S-HEERENBROEK,2017,35,1,enexis
'S-HEERENBROEK,2018,35,6,enexis
'S-HEERENBROEK,2018,45,4,enexis
'S-HEERENBROEK,2019,45,4,enexis
'S-HEERENBROEK,2019,55,6,enexis
'S-HERTOGENBOSCH,2010,5,2069,enexis
'S-HERTOGENBOSCH,2011,5,2084,enexis
'S-HERTOGENBOSCH,2012,5,2104,enexis
'S-HERTOGENBOSCH,2012,15,1,enexis
'S-HERTOGENBOSCH,2013,5,2113,enexis
'S-HERTOGENBOSCH,2013,15,6,enexis
'S-HERTOGENBOSCH,2014,5,2080,enexis
'S-HERTOGENBOSCH,2014,15,57,enexis
'S-HERTOGENBOSCH,2015,5,206,enexis
