city,years,companies,predict_label
ADUARD,2010,enexis,1
ADUARD,2011,enexis,1
ADUARD,2012,enexis,1
ADUARD,2013,enexis,1
ADUARD,2014,enexis,1
ADUARD,2015,enexis,1
ADUARD,2016,enexis,1
ADUARD,2017,enexis,1
ADUARD,2018,enexis,1
ADUARD,2019,enexis,1
AERDENHOUT,2010,stedin,1
AERDENHOUT,2011,stedin,1
AERDENHOUT,2012,stedin,1
AERDENHOUT,2013,stedin,1
AERDENHOUT,2014,stedin,1
AERDENHOUT,2015,stedin,1
AERDENHOUT,2016,stedin,1
AERDENHOUT,2017,stedin,1
AERDENHOUT,2018,stedin,1
AERDENHOUT,2019,stedin,1
AERDT,2010,liander,1
AERDT,2011,liander,1
AERDT,2012,liander,1
AERDT,2013,liander,1
AERDT,2014,liander,1
AERDT,2015,liander,1
AERDT,2016,liander,1
AERDT,2017,liander,1
AERDT,2018,liander,1
AERDT,2019,liander,1
AFFERDEN GLD,2010,liander,1
AFFERDEN GLD,2011,liander,1
AFFERDEN GLD,2012,liander,1
AFFERDEN GLD,2013,liander,1
AFFERDEN GLD,2014,liander,1
AFFERDEN GLD,2015,liander,1
AFFERDEN GLD,2016,liander,1
AFFERDEN GLD,2017,liander,1
AFFERDEN GLD,2018,liander,1
AFFERDEN GLD,2019,liander,1
AFFERDEN L,2019,enexis,1
AFFERDEN LB,2010,enexis,1
AFFERDEN LB,2011,enexis,1
AFFERDEN LB,2012,enexis,1
AFFERDEN LB,2013,enexis,1
AFFERDEN LB,2014,enexis,1
AFFERDEN LB,2015,enexis,1
AFFERDEN LB,2016,enexis,1
AFFERDEN LB,2017,enexis,1
AFFERDEN LB,2018,enexis,1
AFFERDEN LB,2019,enexis,1
AKERSLOOT,2010,liander,1
AKERSLOOT,2010,stedin,1
AKERSLOOT,2011,liander,1
AKERSLOOT,2011,stedin,1
AKERSLOOT,2012,liander,1
AKERSLOOT,2012,stedin,1
AKERSLOOT,2013,liander,1
AKERSLOOT,2013,stedin,1
AKERSLOOT,2014,liander,1
AKERSLOOT,2014,stedin,1
AKERSLOOT,2015,liander,1
AKERSLOOT,2015,stedin,1
AKERSLOOT,2016,liander,1
AKERSLOOT,2016,stedin,1
AKERSLOOT,2017,liander,1
AKERSLOOT,2017,stedin,1
AKERSLOOT,2018,liander,1
AKERSLOOT,2018,stedin,1
AKERSLOOT,2019,stedin,1
AKKRUM,2010,enexis,1
AKKRUM,2011,enexis,1
AKKRUM,2012,enexis,1
AKKRUM,2013,enexis,1
AKKRUM,2014,enexis,1
AKKRUM,2015,enexis,1
AKKRUM,2016,liander,1
AKKRUM,2017,liander,1
AKKRUM,2018,liander,1
AKKRUM,2019,liander,1
AKMARIJP,2010,enexis,1
AKMARIJP,2011,enexis,1
AKMARIJP,2012,enexis,1
AKMARIJP,2013,enexis,1
AKMARIJP,2014,enexis,1
AKMARIJP,2015,enexis,1
AKMARIJP,2016,liander,1
AKMARIJP,2017,liander,1
AKMARIJP,2018,liander,1
AKMARIJP,2019,liander,1
ALBLASSERDAM,2010,stedin,1
ALBLASSERDAM,2011,stedin,1
ALBLASSERDAM,2012,stedin,1
ALBLASSERDAM,2013,stedin,1
ALBLASSERDAM,2014,stedin,1
ALBLASSERDAM,2015,stedin,1
ALBLASSERDAM,2016,stedin,1
ALBLASSERDAM,2017,stedin,1
ALBLASSERDAM,2018,stedin,1
