city,active_conn_perc,consume_per_conn,lowtarif_perc,product_perc,p_type_conn_perc,years,smartmeter_perc,true_label
BADHOEVEDORP,0.966476,227.831,0.43625,0.00546159,0.678941,2013,0.0139734,5
BAEXEM,1,299.196,0.499095,0.0249824,0.547996,2013,0.0792171,5
BAFLO,1,190.775,0.293184,0.00956577,0.546948,2013,0.0176056,5
BAIJUM,0.846154,822.909,0.7692,0.0769,0.454545,2013,0,5
BAKEL,1,311.646,0.474777,0.00870727,0.653383,2013,0.0329008,5
BAKHUIZEN,0.944984,275.521,0.338791,0.0121151,0.642123,2013,0.00684932,5
BAKKEVEEN,0.971368,232.426,0.469821,0.0272891,0.652838,2013,0.00655022,5
BALGOIJ,0.922261,456.579,0.508863,0.00602595,0.597701,2013,0,5
BALGOY,0.952381,569.05,0.5238,0,0.45,2013,0,5
BALINGE,1,304.706,0.41,0,0.764706,2013,0.0588235,5
BALK,0.941259,193.385,0.398073,0.00406441,0.679481,2013,0.0254618,5
BALKBRUG,1,324.389,0.382058,0.0226167,0.68299,2013,0.0199742,5
BALLOO,1,421.767,0.334497,0.122588,0.666667,2013,0.05,5
BALLUM,0.895161,242.243,0.32969,0.023349,0.63964,2013,0.00225225,5
BANHOLT,1,233.358,0.510601,0.0196374,0.506266,2013,0.0300752,5
BANT,1,385.356,0.467464,0.0320852,0.587273,2013,0.0763636,5
BANTEGA,0.926471,296.098,0.566123,0.00685634,0.485714,2013,0.00634921,5
BARCHEM,0.921311,364.37,0.492934,0.00442194,0.666667,2013,0.0344009,5
BARENDRECHT,0.984087,163.36,0.949082,0.00744349,0.834469,2013,0.0750784,5
BARGER-COMPASCUUM,1,252.015,0.324912,0.00378259,0.572592,2013,0.0189959,5
BARNEVELD,0.914048,286.067,0.349912,0.00570965,0.711679,2013,0.01735,5
BARSINGERHORN,0.960739,260.731,0.661864,0.0124355,0.699519,2013,0.0144231,5
BASSE,1,247.378,0.322036,0.064002,0.577778,2013,0.0222222,5
BATENBURG,0.965217,319.387,0.562918,0.00476758,0.633634,2013,0.00900901,5
BATHMEN,1,302.871,0.39535,0.0417519,0.707097,2013,0.0348387,5
BAVEL,1,262.919,0.406851,0.0106943,0.746417,2013,0.0395639,5
BEARS FR,0.977273,196.314,0.613956,0.00758005,0.686047,2013,0.0116279,5
BEDUM,1,238.798,0.307283,0.0155585,0.57833,2013,0.0218341,5
BEEGDEN,1,238.814,0.504512,0.0263916,0.553866,2013,0.0773131,5
BEEK EN DONK,1,208.055,0.460319,0.00738871,0.651629,2013,0.0534771,5
BEEK GEM MONTFERLAND,0.920283,343.993,0.538863,0.00833758,0.632675,2013,0.0175439,5
BEEK LB,1,208.203,0.468375,0.0213922,0.572131,2013,0.067377,5
BEEK-UBBERGEN,0.944218,227.902,0.296306,0.00514776,0.616,2013,0.0123077,5
BEEKBERGEN,0.925446,327.979,0.473161,0.00897195,0.688266,2013,0.0268535,5
BEEMTE BROEKLAND,0.901235,516.564,0.609213,0.0165473,0.605479,2013,0.00821918,5
BEERS NB,1,332.905,0.486748,0.0143281,0.604196,2013,0.0111888,5
BEERTA,1,226.883,0.313269,0.0140731,0.529781,2013,0.0188088,5
BEERZE,1,242,0.443403,0.0125856,0.589286,2013,0.00892857,5
BEERZERVELD,1,332.219,0.392465,0.0259992,0.568513,2013,0.0524781,5
BEESD,0.948005,319.827,0.661532,0.00532195,0.652423,2013,0.00446429,5
BEESEL,1,230.82,0.514342,0.0243802,0.484142,2013,0.0531716,5
BEETS NH,0.912338,223.893,0.493269,0.0130106,0.676157,2013,0.0106762,5
BEETSTERZWAAG,0.933182,210.884,0.410859,0.0182404,0.648058,2013,0.00849515,5
BEILEN,1,275.83,0.342966,0.014289,0.619449,2013,0.0219984,5
BEINSDORP,0.946067,285.862,0.504287,0.00495322,0.570071,2013,0.00712589,5
BELFELD,1,190.79,0.487844,0.0195337,0.588613,2013,0.0793905,5
BELLINGWOLDE,1,233.402,0.332074,0.00832536,0.546527,2013,0.0183486,5
BELT-SCHUTSLOOT,1,241.091,0.409804,0.00603892,0.58498,2013,0.0197628,5
BELTRUM,0.936944,537.575,0.618902,0.0180302,0.637619,2013,0.00949094,5
BEMELEN,1,262.547,0.53342,0.072192,0.523364,2013,0.0654206,5
BEMMEL,0.945731,239.483,0.469351,0.00706149,0.721682,2013,0.0170093,5
BENEDEN-LEEUWEN,0.932071,261.528,0.42873,0.00592484,0.653469,2013,0.0185704,5
BENNEBROEK,0.929431,244.929,0.489329,0.00329636,0.656169,2013,0.00258844,5
BENNEKOM,0.94261,240.379,0.415645,0.010826,0.693398,2013,0.0197758,5
BENNEVELD,1,438,0.43,0,0.8,2013,0,5
BENNINGBROEK,0.935754,355.955,0.584484,0.0111532,0.626866,2013,0.00895522,5
BENSCHOP,0.968498,285.463,0.888547,0.00214211,0.615734,2013,0.0173979,5
BENTELO,1,494.09,0.434365,0.022447,0.591304,2013,0.0452174,5
BENTHUIZEN,0.959398,218.48,0.841109,0.00692771,0.610239,2013,0.0750853,5
BENTVELD,0.965642,300.721,0.562501,0.00611235,0.717228,2013,0.00187266,5
BERG EN DAL,0.954717,239.364,0.550925,0.00920517,0.796838,2013,0.0537549,5
BERG EN TERBLIJT,1,249.24,0.483107,0.0275282,0.52755,2013,0.0572831,5
BERGAMBACHT,0.930849,286.022,0.948,0.00955778,0.725237,2013,0.0834464,5
BERGEIJK,1,276.244,0.486809,0.00861944,0.655574,2013,0.0290377,5
BERGEN AAN ZEE,0.905858,306.256,0.474686,0.00168767,0.709007,2013,0.00692841,5
BERGEN LB,1,233.205,0.484939,0.0125057,0.596726,2013,0.0577337,5
BERGEN NH,0.944733,238.671,0.418122,0.00827698,0.671017,2013,0.00644755,5
BERGEN OP ZOOM,1,188.263,0.248705,0.018428,0.694312,2013,0.071026,5
BERGENTHEIM,1,259.458,0.399727,0.0404312,0.684211,2013,0.0246711,5
BERGHAREN,0.93683,323.897,0.533301,0.0145113,0.582697,2013,0.00763359,5
BERGHEM,1,212.634,0.505372,0.00914527,0.717426,2013,0.0576408,5
BERGSCHENHOEK,0.978756,204.288,0.98537,0.00744605,0.847075,2013,0.0875264,5
BERINGE,1,338.166,0.496751,0.010897,0.576626,2013,0.0837927,5
BERKEL EN RODENRIJS,0.980656,190.766,0.990525,0.0123324,0.834763,2013,0.157452,4
BERKEL EN RODENRYS,1,292.5,1,0,0.916667,2013,0,5
BERKEL-ENSCHOT,1,249.119,0.467593,0.00654477,0.69615,2013,0.0373511,5
BERKENWOUDE,0.977843,246.391,0.967703,0.0144654,0.68429,2013,0.0407855,5
BERKHOUT,0.93,271.638,0.555958,0.0262965,0.626344,2013,0.0358423,5
BERLICUM NB,1,266.917,0.465461,0.0163109,0.659516,2013,0.0349214,5
BERLTSUM,0.947581,220.586,0.339411,0.00894044,0.645957,2013,0.012766,5
BERN,0.851064,446.15,0.766,0,0.55,2013,0.05,5
BEST,1,233.642,0.441698,0.00693989,0.71867,2013,0.0217706,5
BEUGEN,1,326.599,0.500609,0.0215255,0.678726,2013,0.0376266,5
BEUNINGEN GLD,0.939834,227.419,0.429843,0.0066035,0.751848,2013,0.0166315,5
BEUNINGEN OV,1,313.124,0.432115,0.0310239,0.634921,2013,0.0666667,5
BEUSICHEM,0.932227,317.897,0.563216,0.0109172,0.645401,2013,0.014095,5
BEUTENAKEN,1,243.947,0.45,0.05,0.526316,2013,0,5
BEVERWIJK,0.908958,192.809,0.26332,0.00328964,0.742032,2013,0.0103209,5
BIDDINGHUIZEN,0.916524,379.356,0.633714,0.0246411,0.696529,2013,0.0194102,5
BIERUM,1,225.867,0.258834,0,0.497854,2013,0.00858369,5
BIEST-HOUTAKKER,1,392.671,0.560236,0.0138139,0.682493,2013,0.0385757,5
BIEZENMORTEL,1,377.294,0.554473,0.0255252,0.656109,2013,0.0384615,5
BILTHOVEN,0.97618,242.324,0.885674,0.00813981,0.657819,2013,0.017789,5
BINGELRADE,1,195.546,0.510354,0.0173392,0.414566,2013,0.0756303,5
BITGUM,0.934343,175.705,0.332352,0.0144193,0.645946,2013,0.00810811,5
BITGUMMOLE,0.966903,187.949,0.411173,0.0192198,0.581907,2013,0.0391198,5
BLADEL,1,262.112,0.484082,0.015192,0.640385,2013,0.0269382,5
BLANKENHAM,1,476.445,0.476685,0.0575096,0.579832,2013,0.0756303,5
BLARICUM,0.905302,376.366,0.479617,0.00250933,0.675706,2013,0.019371,5
BLAUWESTAD,1,285.718,0.34089,0.027796,0.745763,2013,0.0169492,5
BLAUWHUIS,0.938224,258.658,0.373949,0.0214909,0.609053,2013,0.0123457,5
BLEISWIJK,0.956573,276.913,0.984839,0.0104042,0.791581,2013,0.088733,5
BLESDIJKE,0.959459,299.08,0.620691,0.0395816,0.624413,2013,0.0140845,5
BLESKENSGRAAF CA,0.979335,216.475,0.9478,0.0323318,0.712844,2013,0.0678899,5
BLESSUM,1,357.912,0.389144,0.0801924,0.5,2013,0,5
BLIJE,0.93736,286.959,0.523601,0.0616939,0.589499,2013,0.00477327,5
BLIJHAM,1,225.639,0.355398,0.00300051,0.536885,2013,0.00983607,5
BLITTERSWIJCK,1,360.922,0.512856,0.0148178,0.571101,2013,0.0550459,5
BLOEMENDAAL,0.924517,290.828,0.481454,0.0059503,0.683703,2013,0.0128576,5
BLOKKER,0.959413,188.6,0.417315,0.0149135,0.670744,2013,0.0142712,5
BLOKZIJL,1,292.712,0.403663,0.010549,0.642302,2013,0.0311042,5
BOAZUM,0.963351,150.516,0.504711,0.0175513,0.538043,2013,0.00543478,5
BOCHOLTZ,1,200.801,0.485598,0.0248409,0.508095,2013,0.0626816,5
BODEGRAVEN,0.987358,226.166,0.943952,0.0167905,0.75194,2013,0.0697103,5
BOEKEL,1,327.822,0.494672,0.0154413,0.647274,2013,0.0316783,5
BOELENSLAAN,0.909556,217.03,0.40579,0.0142634,0.587242,2013,0.00375235,5
BOER,0.909091,457.667,0.518237,0,0.433333,2013,0.0333333,5
BOERAKKER,1,240.492,0.376556,0.0260786,0.564103,2013,0.0307692,5
BOESINGHELIEDE,0.801105,554.614,0.417312,0.0040425,0.675862,2013,0,5
BOIJL,0.936214,330.292,0.523421,0.00538933,0.571429,2013,0.0021978,5
BOKSUM,0.967914,295.022,0.402273,0.0421474,0.59116,2013,0.00552486,5
BOLSWARD,0.924009,219.538,0.341864,0.0109612,0.688717,2013,0.0230433,5
BONTEBOK,0.934694,191.904,0.476035,0.015906,0.68559,2013,0.00873362,5
BOORNBERGUM,0.899464,199.228,0.369228,0.00903939,0.605067,2013,0.0372578,5
BOORNZWAAG,0.935743,217.571,0.441877,0.0144384,0.480687,2013,0.00429185,5
BORCULO,0.908198,253.703,0.422359,0.0056506,0.641351,2013,0.0364865,5
BORGER,1,260.58,0.328637,0.0193798,0.590657,2013,0.0249769,5
BORGERCOMPAGNIE,1,327.603,0.405286,0.0666973,0.536082,2013,0.0824742,5
BORGSWEER,1,288.93,0.308903,0.0377649,0.473684,2013,0.0175439,5
BORN,1,201.466,0.477482,0.0182729,0.627496,2013,0.0710445,5
BORNE,1,214.289,0.346675,0.00875859,0.789998,2013,0.040856,5
BORNERBROEK,1,420.754,0.405166,0.0142146,0.588146,2013,0.0395137,5
BORNWIRD,0.910256,183.113,0.328082,0.0241901,0.549296,2013,0.028169,5
BOSCH EN DUIN,0.976608,527.876,0.883899,0.00942312,0.706587,2013,0.0149701,5
BOSKOOP,0.948372,187.115,0.85445,0.00481191,0.688407,2013,0.0247571,5
BOSSCHENHOOFD,1,285.334,0.403406,0.00852776,0.646062,2013,0.0478564,5
BOTLEK ROTTERDAM,0.712418,302.22,0.825115,0,0.201835,2013,0.183486,4
BOURTANGE,1,273.216,0.367396,0.0303927,0.530488,2013,0.0335366,5
BOVEN-LEEUWEN,0.88715,311.813,0.503221,0.0146388,0.628598,2013,0.0677809,5
BOVENKARSPEL,0.95502,230.149,0.418799,0.0116105,0.684642,2013,0.0109215,5
BOVENSMILDE,1,221.226,0.335643,0.0228392,0.588194,2013,0.0194444,5
BOXMEER,1,232.995,0.409408,0.0067689,0.640364,2013,0.0161818,5
BOXTEL,1,204.386,0.408503,0.0166478,0.709106,2013,0.0321425,5
BRAAMT,0.941734,191.035,0.445796,0.0132682,0.730935,2013,0.00143885,5
BRAKEL,0.889051,341.219,0.542474,0.00228823,0.650246,2013,0.0213465,5
BRANDWIJK,0.977528,272.226,0.939056,0.0181967,0.636015,2013,0.00574713,5
BRANTGUM,0.942623,187.122,0.416443,0.0300845,0.478261,2013,0,5
BREDA,1,179.24,0.281045,0.00526605,0.750662,2013,0.0475841,5
BREDEVOORT,0.955026,258.345,0.348468,0.00395323,0.657895,2013,0.00277008,5
BREEDENBROEK,0.940171,395.402,0.566341,0.0153918,0.684091,2013,0.00681818,5
BREEZAND,0.912541,358,0.707107,0.0147514,0.66305,2013,0.00843882,5
BREUKELEN UT,0.970726,208.344,0.849464,0.00487869,0.636688,2013,0.0217702,5
BREUKELEVEEN,0.937931,411.441,0.836661,0.0194594,0.669118,2013,0.0441176,5
BRIELLE,0.980147,149.569,0.930633,0.00661304,0.865582,2013,0.0995857,5
BRILTIL,1,399.709,0.425538,0.0102272,0.741722,2013,0.013245,5
BRITSUM,0.983158,171.55,0.405107,0.0184479,0.631692,2013,0.0342612,5
BRITSWERT,0.918367,420.911,0.437664,0,0.555556,2013,0.0222222,5
BROEK FR,0.931677,419.027,0.669774,0.0377578,0.6,2013,0.0133333,5
BROEK IN WATERLAND,0.93541,252.407,0.470612,0.00831148,0.706742,2013,0.058489,5
BROEK OP LANGEDIJK,0.929196,269.546,0.366201,0.0137547,0.638288,2013,0.0263405,5
BROEKHUIZEN DR,1,715.867,0.365295,0,0.6,2013,0,5
BROEKHUIZEN LB,1,246.084,0.531636,0.0221131,0.487952,2013,0.0301205,5
BROEKHUIZENVORST,1,256.685,0.503546,0.0122675,0.613483,2013,0.0426966,5
BROEKLAND OV,1,334.7,0.409563,0.0359367,0.662844,2013,0.043578,5
BROEKSTERWALD,0.940727,212.533,0.356868,0.0200115,0.666667,2013,0.00813008,5
BRONKHORST,0.945946,449.357,0.686358,0.0694667,0.614286,2013,0.0142857,5
BRONNEGER,1,613.846,0.36,0,0.615385,2013,0.0769231,5
BRONNEGERVEEN,1,213.282,0.44,0.03,0.717949,2013,0.0769231,5
BRUCHEM,0.907068,387.354,0.553162,0.020005,0.571429,2013,0.041847,5
BRUCHT,1,545.988,0.401483,0.0167826,0.619048,2013,0.0238095,5
BRUCHTERVELD,1,353.164,0.426512,0.0273566,0.605392,2013,0.0220588,5
BRUINEHAAR,1,907.774,0.478653,0.0686532,0.580645,2013,0.0322581,5
BRUMMEN,0.936729,241.895,0.439826,0.00861193,0.736162,2013,0.00585223,5
BRUNSSUM,1,183.284,0.43701,0.0096095,0.614499,2013,0.0591276,5
BUCHTEN,1,214.115,0.499512,0.0132568,0.565625,2013,0.121875,4
BUDEL,1,252.876,0.420073,0.00473188,0.672658,2013,0.0238884,5
BUDEL-DORPLEIN,1,245.698,0.391177,0.014001,0.638752,2013,0.0164204,5
BUDEL-SCHOOT,1,227.167,0.345101,0.00918773,0.631966,2013,0.0210305,5
BUGGENUM,1,259.46,0.519643,0.0161542,0.469048,2013,0.052381,5
BUINEN,1,321.921,0.340438,0.0289314,0.557065,2013,0.0244565,5
BUINERVEEN,1,165.432,0.392853,0.01717,0.614865,2013,0.0472973,5
BUITENKAAG,0.936,443.846,0.671573,0.00247165,0.641026,2013,0.0128205,5
BUITENPOST,0.927378,200.942,0.349821,0.0163546,0.671324,2013,0.00514706,5
BUNDE,1,216.13,0.494831,0.0169686,0.589586,2013,0.0668307,5
BUNNE,1,432.878,0.406445,0,0.658537,2013,0,5
BUNNIK,0.982032,244.485,0.823312,0.0216344,0.618612,2013,0.0290221,5
BUNSCHOTEN-SPAKENBURG,0.977323,266.109,0.869136,0.00673807,0.612567,2013,0.0765082,5
BURDAARD,0.90035,211.753,0.373571,0.0134733,0.596117,2013,0.0271845,5
BUREN FR,0.909714,171.74,0.315735,0.0222015,0.581658,2013,0.00125628,5
BUREN GLD,0.901288,274.631,0.495117,0.00409876,0.683333,2013,0.00634921,5
BURGERBRUG,0.935543,279.36,0.581825,0.023924,0.679134,2013,0.00787402,5
BURGERVEEN,0.921348,491.909,0.458175,0,0.664634,2013,0.0182927,5
BURGUM,0.9544,187.371,0.324377,0.00943826,0.688323,2013,0.00960036,5
